name,x,y,z,yaw,pitch,row
center,0,0,0,0,0,0
v0,0,1.2744186,0.0,0,0,0
v1,0.0,1.1151163,0.0,0,0,0
v2,0.0,0.955814,0.0,0,0,0
v3,0.0,0.7965116,0.0
v4,0.0,0.6372093,0.0,0,0,0
v5,0.0,0.477907,0.0,0,0,0
v6,0.0,0.3186047,0.0,0,0,0
v7,0.0,0.1593023,0.0,0,0,0
v8,0,0,0,0,0,0
