v0,3.1,-2.5,0.8,90,0,0
v1,2.9,-2.5,0.8,90,0,0
v2,2.7,-2.5,0.8,90,0,0
v3,2.5,-2.5,0.8,90,0,0
v4,2.3000000000000003,-2.5,0.8,90,0,0
v5,2.1,-2.5,0.8,90,0,0
v6,3.1,-2.5,1.0,90,0,0
v7,2.9,-2.5,1.0,90,0,0
v8,2.7,-2.5,1.0,90,0,0
v9,2.5,-2.5,1.0,90,0,0
v10,2.3000000000000003,-2.5,1.0,90,0,0
v11,2.1,-2.5,1.0,90,0,0
v12,3.1,-2.5,1.2,90,0,0
v13,2.9,-2.5,1.2,90,0,0
v14,2.7,-2.5,1.2,90,0,0
v15,2.5,-2.5,1.2,90,0,0
v16,2.3000000000000003,-2.5,1.2,90,0,0
v17,2.1,-2.5,1.2,90,0,0
v18,3.1,-2.5,1.4000000000000001,90,0,0
v19,2.9,-2.5,1.4000000000000001,90,0,0
v20,2.7,-2.5,1.4000000000000001,90,0,0
v21,2.5,-2.5,1.4000000000000001,90,0,0
v22,2.3000000000000003,-2.5,1.4000000000000001,90,0,0
v23,2.1,-2.5,1.4000000000000001,90,0,0
v24,3.1,-2.5,1.6,90,0,0
v25,2.9,-2.5,1.6,90,0,0
v26,2.7,-2.5,1.6,90,0,0
v27,2.5,-2.5,1.6,90,0,0
v28,2.3000000000000003,-2.5,1.6,90,0,0
v29,2.1,-2.5,1.6,90,0,0
v30,3.1,-2.5,1.8,90,0,0
v31,2.9,-2.5,1.8,90,0,0
v32,2.7,-2.5,1.8,90,0,0
v33,2.5,-2.5,1.8,90,0,0
v34,2.3000000000000003,-2.5,1.8,90,0,0
v35,2.1,-2.5,1.8,90,0,0
